Title,Year,
1 More Hit,2007,
2 Fists Up,2016,
2016: Obama's America,2012,
4,2007,
4 Little Girls,1997,
500 Dunam on the Moon,2002,
500 Years Later,,
"6th Marine Division on Okinawa, The",1945,
9/11: Press for Truth,2006,
10 MPH,2007,
10 Questions for the Dalai Lama,2006,
"The 11th Hour, The",2007,
12th & Delaware,2010,
13th,2016,
16 Days in Afghanistan,2008,
51 Birch Street,2005,
80 Blocks From Tiffany's,1983,
102 Minutes that Changed America,2008,
911: In Plane Site,2006,
A[edit],,
ABC Africa,2001,
Abduction: The Megumi Yokota Story,2006,
About Baghdad,2004,
A Brony Tale,2014,
A Very Heavy Agenda,2016,
An Act of Conscience,1997,
A Jihad for Love,2007,
A Whore Like Me,2019,
Adam Clayton Powell,1989,
Advocate,2019,
Africa,2013,
"Age of Stupid, The",2009,
Agee,1980,
"Agronomist, The",2003,
Aileen Wuornos: The Selling of a Serial Killer,1994,
Aileen: Life and Death of a Serial Killer,2003,
"Air Force, Incorporated",2006,
Alaska Wilderness Lake,1971,
Alice: Ignorance Is Bliss,2014,
Aliens of the Deep,2005,
All Aboard! Rosie's Family Cruise,2006,
All in This Tea,2007,
Almost Sunrise,2016,
Alone across Australia,2004,
Amarillo by Morning,1997,
America's Heart and Soul,2004,
America: Freedom to Fascism,2006,
America: Imagine the World Without Her,2014,
American Fugitive: The Truth About Hassan,2006,
American Beer,2002,
American Bellydancer,2005,
American: The Bill Hicks Story,2009,
American Dream,1990,
American Hardcore,2006,
American Harmony,2008,
American Jobs,2004,
American Movie,1999,
American Pimp,1999,
American Scary,2006,
American Zeitgeist,2006,
"American Ruling Class, The",2005,
Amy,2015,
"Anderson Platoon, The",1967,
Andrew and Jeremy Get Married,2004,
"Animal World, The",1956,
"American Opera, An: The Greatest Pet Rescue Ever!",2007,
Anne Frank Remembered,1995,
Answering the Call: Ground Zero's Volunteers,2006,
Antonia: A Portrait of the Woman,1974,
Anti-Semitism in the 21st Century: The Resurgence,2007,
Anvil! The Story of Anvil,2008,
APEX: The Story of the Hypercar,2015,
Arakimentari,2004,
Apollo 11,2019,
Are the Kids Alright?,2003,
"Aristocrats, The",2005,
Arlington West: The Film,2006,
Art Is... The Permanent Revolution,2012,
Artie Shaw: Time Is All You've Got,1986,
Ashkenaz,2007,
"At Night, They Dance",2011,
Atomic Ed and the Black Hole,2002,
Attack of Life: The Bang Tango Movie,2016,
Audience of One,2007,
Ayn Rand: A Sense of Life,1997,
"Back of Beyond, The",1954,
Backstreet Boys: Show 'Em What You're Made Of,2015,
Baghdad ER,2006,
Bam 6.6,2007,
Bangkok Girl,2005,
Baraka,1992,
Barefoot to Herat,2002,
Baseball†,1994,
Batas Militar,1997,
Battle for the Tiara,1998,
"Battle of San Pietro, The",1945,
"Beatles: The First U.S. Visit, The",1994,
Beats of the Antonov,2014,
Beautiful Losers,2007,
"Beautiful Planet, A",2016,
The Beautiful Game,2012,
Between Rings,2014,
"Before Stonewall, After Stonewall†",1984–1999,
Before the Music Dies,2006,
Before We Forget,2011,
